Genre,Language,Nudity,Rating,Sex,Title,Violence,Release_Date,Production_Budget,Domestic_Gross,Worldwide_Gross
Science Fiction,Medium,Light,PG-13,None,Justice League,Medium,11/17/2017,300000000,229024295,655953446
Drama,Medium,None,PG-13,None,"Roman J. Israel, Esq.",Light,11/17/2017,22000000,11962712,12963235
Comedy,Light,None,PG,None,Wonder,Light,11/17/2017,20000000,132422809,303675291
Animated,None,Light,PG,Light,Coco,Medium,11/22/2017,175000000,209726015,800102441
Animation,None,None,PG,None,The Star,Light,11/17/2017,20000000,40847995,62758010
Drama,Heavy,None,R,Light,Lbj,Medium,11/3/2017,20000000,2468683,2507181
Comedy,Heavy,Medium,R,Medium,A Bad Moms Christmas,Light,11/1/2017,28000000,72110659,127710659
Comedy,Heavy,Medium,R,Medium,The Square,Medium,4/9/2010,1900000,406216,740932
Drama,Heavy,Light,R,Medium,Thank You For Your Service,Heavy,10/27/2017,20000000,9479390,9718331
Science Fiction,Medium,Light,PG-13,Light,Geostorm,Medium,10/20/2017,100000000,33700160,220800160
Thriller,Medium,Medium,R,Light,The Snowman,Heavy,10/20/2017,35000000,6670765,43203413
Science Fiction,Medium,Light,PG-13,Light,Thor: Ragnarok,Medium,11/3/2017,180000000,315058289,850650283
Thriller,Heavy,Light,R,Light,The Foreigner,Heavy,10/13/2017,35000000,34393507,140783646
Thriller,Heavy,None,PG-13,Light,Happy Death Day,Medium,10/13/2017,5000000,55683845,124967272
Drama,Medium,Light,PG-13,Medium,Marshall,Medium,10/13/2017,12000000,10051659,10111433
Science Fiction,Medium,Heavy,R,Medium,Blade Runner 2049,Heavy,10/6/2017,185000000,92054159,259356836
Drama,Heavy,Light,R,Medium,American Made,Medium,9/29/2017,50000000,51342000,135542511
Animation,Light,Light,PG,None,Lilo & Stitch,Light,6/21/2002,80000000,145771527,245800000
Comedy,Medium,Light,PG-13,Medium,Home Again,Light,9/8/2017,15000000,27020284,37337061
Comedy,Light,Light,PG-13,Medium,Battle Of The Sexes,None,9/22/2017,25000000,12638526,18396116
Animated,Light,None,PG,None,The Lego Ninjago Movie,Medium,9/22/2017,70000000,59281555,122769776
Drama,None,Medium,R,Heavy,Tulip Fever,None,9/1/2017,25000000,2455635,6104551
Horror,Heavy,Light,R,Light,It,Heavy,9/8/2017,35000000,327481748,697459228
Animated,None,None,PG,None,Hoodwinked,Light,1/13/2006,17500000,51386611,109843390
Drama,Heavy,Medium,R,Medium,Patti Cake$,Light,8/18/2017,1000000,800148,1471090
Comedy,Heavy,None,PG-13,None,Logan Lucky,Light,8/18/2017,29000000,27778642,43451152
Science Fiction,Medium,None,PG-13,None,The Dark Tower,Medium,8/4/2017,60000000,50701325,113019314
Spy Movie,Heavy,Medium,R,Heavy,Atomic Blonde,Heavy,7/28/2017,30000000,51573925,98351438
Animated,Light,None,PG,None,The Emoji Movie,Light,7/28/2017,50000000,86089513,216797089
Horror,Heavy,Light,PG-13,Light,Wish Upon,Heavy,7/14/2017,12000000,14301505,23477345
Comedy,Heavy,Heavy,R,Medium,Girls Trip,Light,7/21/2017,28000000,115108515,140886353
Drama,None,None,PG,None,All Saints,None,8/25/2017,2000000,5802208,5941994
Science Fiction,Light,Light,PG-13,Light,Valerian And The City Of A Thousand Planets,Medium,7/21/2017,180000000,40479370,215102741
Comedy,Heavy,Medium,R,Light,The House,Heavy,6/30/2017,40000000,25584504,31192743
Animated,None,None,PG,None,Despicable Me 3,Medium,6/30/2017,75000000,264624300,1034530156
Science Fiction,Light,None,PG-13,None,War For The Planet Of The Apes,Medium,7/14/2017,152000000,146880162,489592267
Thriller,Heavy,None,R,None,Baby Driver,Heavy,6/28/2017,34000000,107825862,228104185
Evangelical drama,Light,None,Not rated by MPAA,Light,The Apostle,Medium,12/17/1997,5000000,20733485,21277770
Romantic Comedy,Heavy,None,R,Light,The Big Sick,None,6/23/2017,5000000,42872467,53005355
Drama,Heavy,Medium,R,Medium,All Eyez On Me,Medium,6/16/2017,45000000,44922302,54876855
Comedy,Heavy,Medium,R,Medium,Rough Night,Medium,6/16/2017,20000000,22105643,46844357
Animated,None,None,G,None,Cars 3,Light,6/16/2017,175000000,152901115,383556369
Horror,Medium,Light,R,Light,It Comes At Night,Heavy,6/9/2017,5000000,13985117,19720203
Fantasy,Light,Light,PG-13,Light,Wonder Woman,Medium,6/2/2017,150000000,412563408,821563408
Comedy,Heavy,Heavy,R,Medium,Baywatch,Heavy,5/25/2017,60000000,58060186,176533570
Fantasy,Light,Light,PG-13,Light,Pirates Of The Caribbean: Dead Men Tell No Tales,Medium,5/26/2017,230000000,172558876,790094284
Romantic Drama,Light,None,PG-13,Medium,"Everything, Everything",Light,5/19/2017,10000000,34121140,61621140
Comedy,Light,Light,PG,None,Diary Of A Wimpy Kid: The Long Haul,Light,5/19/2017,22000000,20738724,35608734
Comedy,Heavy,Medium,R,Medium,Snatched,Medium,5/12/2017,42000000,45852178,57852177
Science Fiction,Heavy,Medium,R,Medium,Alien: Covenant,Heavy,5/19/2017,97000000,74262031,238862031
Comedy,Medium,Light,PG-13,Light,How To Be A Latin Lover,Light,4/28/2017,10000000,32149404,62556228
Comedy,Heavy,Medium,R,Medium,The Lovers,Light,3/13/2015,35000000,0,11106
Thriller,Medium,None,PG-13,Light,The Circle,Light,4/28/2017,18000000,20497844,40651864
Drama,Light,None,Not Rated,None,The Circle,Light,4/28/2017,18000000,20497844,40651864
Drama,Heavy,Light,R,Light,Sleight,Heavy,4/28/2017,250000,3930990,3934450
Crime,Heavy,None,R,Medium,Free Fire,Heavy,4/21/2017,10000000,1799322,3793739
Thriller,Heavy,Light,PG-13,Light,The Fate Of The Furious,Medium,4/14/2017,250000000,225764765,1237466026
Animated,Light,Light,PG,None,The Boss Baby,Light,3/31/2017,125000000,175003033,512017946
Comedy,Medium,None,PG-13,Light,Going In Style,Light,4/7/2017,24000000,45018541,78697547
Drama,None,None,None,None,The Pledge,Light,1/19/2001,45000000,19719930,29406132
Mystery,Heavy,Medium,R,Light,The Pledge,Heavy,1/19/2001,45000000,19719930,29406132
Horror,Heavy,None,R,None,Life,Heavy,4/16/1999,75000000,64062587,73521587
Horror,Heavy,None,R,None,Life,Heavy,3/24/2017,58000000,30234022,100996599
Prison comedy,None,None,R,None,Life,None,4/16/1999,75000000,64062587,73521587
Prison comedy,None,None,R,None,Life,None,3/24/2017,58000000,30234022,100996599
Comedy,Heavy,Heavy,R,Heavy,Chips,Heavy,3/24/2017,25000000,18600152,23190697
Comedy,Heavy,None,R,Medium,Wilson,Light,8/1/1944,5200000,2000000,2000000
Science Fiction,Medium,Light,PG-13,Light,Power Rangers,Medium,3/24/2017,120000000,85364450,142766974
Thriller,Heavy,None,R,Light,The Belko Experiment,Heavy,3/17/2017,5000000,10166820,10753399
Science Fiction,Medium,Light,PG-13,None,Kong: Skull Island,Medium,3/10/2017,185000000,168052812,561089941
Historical Drama,None,Medium,R,Light,Bitter Harvest,Medium,2/24/2017,21000000,557241,606162
Comedy,Heavy,Light,PG-13,Medium,Table 19,Light,3/3/2017,5000000,3614896,4620399
Thriller,Medium,Medium,PG-13,Light,Collide,Heavy,2/24/2017,29200000,2280004,5284998
Romance,Heavy,Medium,R,Heavy,Fifty Shades Darker,Medium,2/10/2017,55000000,114434010,381081967
Horror,Heavy,None,PG-13,Light,Get Out,Heavy,2/24/2017,5000000,176040665,255209057
Science Fiction,Heavy,Medium,R,None,Logan,Heavy,3/3/2017,127000000,226277068,615476965
Comedy,Heavy,Medium,R,Medium,Fist Fight,Medium,2/17/2017,25000000,32187017,40287017
Science Fiction,Light,None,PG-13,None,The Great Wall,Medium,2/17/2017,150000000,45157105,334550106
Animated,None,Light,PG,None,The Lego Batman Movie,Light,2/10/2017,80000000,175750384,310854446
Thriller,Medium,Medium,R,None,John Wick: Chapter Two,Heavy,2/10/2017,40000000,92029184,171529184
,Light,Light,PG-13,Light,Rings,Heavy,2/3/2017,25000000,27793018,82933201
Science Fiction,Light,None,R,None,Resident Evil: The Final Chapter,Heavy,1/27/2017,40000000,26844692,312796515
Spy Movie,Heavy,Light,PG-13,Light,Xxx: Return Of Xander Cage,Heavy,1/20/2017,85000000,44898413,345053084
Thriller,Light,Light,R,Light,Split,Medium,1/20/2017,5000000,138141585,278306227
Horror,Heavy,Light,PG-13,Light,The Bye Bye Man,Heavy,1/13/2017,7400000,22395806,27162182
Drama,Light,Light,Not Rated,Light,The Fits,Light,6/3/2016,170000,166425,169242
Comedy,Light,None,PG-13,Light,The Meddler,Light,4/22/2016,3200000,4267219,5526942
Thriller,Medium,Heavy,"June 24, 2016",Heavy,The Neon Demon,Heavy,6/24/2016,7500000,1333124,3559803
Comedy,None,Light,PG,None,The Resurrection Of Gavin Stone,Light,1/20/2017,2000000,2303792,2303792
Thriller,Light,None,Not Rated,None,Operation Chromite,Heavy,8/5/2016,12700000,1022720,49196532
Science Fiction,Light,None,PG,None,Monster Trucks,Light,1/13/2017,125000000,33370166,61681268
Comedy,Medium,Light,R,None,Paterson,Light,12/28/2016,5000000,2141423,10761547
Comedy,Heavy,Medium,R,Heavy,Why Him?,None,12/23/2016,38000000,60323786,117523786
Science Fiction,Light,Medium,PG-13,Medium,Passengers,Medium,12/21/2016,110000000,100014699,302239672
Historical Drama,None,Light,R,None,Silence,Heavy,12/23/2016,46500000,7100177,23666292
Science Fiction,None,None,PG-13,None,Rogue One: A Star Wars Story,Medium,12/16/2016,200000000,532177324,1050988488
Drama,Medium,None,PG,None,Hidden Figures,None,12/25/2016,25000000,169607287,231800856
Gangster Movie,Heavy,Medium,R,Medium,Live By Night,Heavy,12/25/2016,65000000,10378555,21778555
Comedy,Heavy,Heavy,R,Heavy,Office Christmas Party,Medium,12/9/2016,45000000,54767494,91342494
Fantasy,Light,None,PG-13,None,A Monster Calls,Light,1/6/2017,43000000,3740823,46422066
Drama,Light,None,PG-13,Light,The Founder,None,1/20/2017,15000000,12786053,20815131
Drama,Medium,None,PG-13,Light,Collateral Beauty,None,12/16/2016,36000000,31016021,85315070
Drama,Heavy,Light,R,Light,Patriots Day,Heavy,12/21/2016,40000000,31886361,52461361
Horror,Medium,None,PG-13,Light,Incarnate,Medium,12/2/2016,5000000,4799774,7799378
Drama,Heavy,Light,R,Light,Miss Sloane,Light,11/25/2016,18000000,3500605,6954005
Drama,None,Light,PG-13,Light,Lion,Light,11/25/2016,12000000,51739495,149875676
Drama,Heavy,Heavy,R,Medium,Nocturnal Animals,Heavy,11/18/2016,22500000,10663357,32398726
Animated,None,None,PG,None,Sing,Light,12/21/2016,75000000,270329045,634953727
Drama,Heavy,Light,R,Medium,Manchester By The Sea,Light,11/18/2016,8500000,47695371,77761947
Animated,None,Light,PG,None,Moana,Light,11/23/2016,150000000,248757044,639369553
Fantasy,None,None,PG-13,None,Fantastic Beasts And Where To Find Them,Medium,11/18/2016,180000000,234037575,802442198
Drama,Heavy,Heavy,R,Medium,Bleed For This,Medium,11/18/2016,16000000,5083906,6248077
Comedy,Heavy,None,R,Medium,The Edge Of Seventeen,Light,11/18/2016,9000000,14431633,18802255
Musical,Medium,Light,PG-13,Light,La La Land,None,12/9/2016,20000000,151101803,425742799
Horror,Medium,Medium,PG-13,Light,Shut In,Medium,11/11/2016,10000000,6900335,11361962
Comedy,Heavy,Light,PG-13,Light,Almost Christmas,Light,11/11/2016,17000000,42065185,42493506
Drama,Light,None,R,None,Jackie,Heavy,12/2/2016,9000000,13960394,29158438
Drama,None,None,PG-13,Light,Loving,Light,11/4/2016,9000000,7710234,12898064
Animated,None,None,PG,None,Trolls,Light,11/4/2016,125000000,153707064,344527425
Thriller,Light,None,PG-13,Medium,Inferno,Medium,10/28/2016,75000000,34343574,219561188
Drama,Light,Light,Not Rated,Light,The Perfect Wave,Light,7/11/2014,4000000,0,0
Fantasy,Light,None,PG-13,None,Doctor Strange,Heavy,11/4/2016,165000000,232641920,677323653
"Horror, Thriller",Light,None,PG-13,None,Ouija: Origin Of Evil,Heavy,10/21/2016,9000000,35144505,81831866
Thriller,Heavy,Light,PG-13,Light,Jack Reacher: Never Go Back,Heavy,10/21/2016,60000000,58697076,160038407
Science Fiction,Light,None,PG-13,None,Arrival,Light,11/11/2016,47000000,100546139,203162211
Thriller,Heavy,Light,R,None,The Accountant,Heavy,10/14/2016,40000000,86260045,153055291
Thriller,Heavy,Medium,R,Medium,The Girl On The Train,Heavy,10/7/2016,45000000,75395035,170327930
Drama,Heavy,Light,PG-13,Light,Deepwater Horizon,Medium,9/30/2016,156000000,61433527,122931214
War Movie,Medium,Light,R,Light,Hacksaw Ridge,Heavy,11/4/2016,40000000,67209615,164770420
Drama,Light,Light,R,Medium,The Dressmaker,Heavy,9/23/2016,11900000,2022115,24041617
Horror,Heavy,None,R,None,Blair Witch,Heavy,9/16/2016,10000000,20777061,37493221
Thriller,Heavy,Medium,R,Medium,Snowden,Light,9/16/2016,50000000,21587519,34301950
Thriller,Heavy,Medium,PG-13,Medium,When The Bough Breaks,Medium,9/9/2016,10000000,29747603,30768449
Animated,None,Light,PG,None,Storks,Light,9/23/2016,70000000,72679278,174030321
Drama,Medium,Light,PG-13,None,Sully,Light,9/9/2016,60000000,125070033,238552082
Comedy,Heavy,Light,PG-13,Light,Yoga Hosers,Heavy,9/2/2016,5000000,0,2199
Western,Heavy,None,PG-13,Light,The Magnificent Seven,Heavy,9/23/2016,90000000,93432655,162526238
Science Fiction,Medium,None,R,Light,Morgan,Heavy,9/2/2016,8000000,3915251,7298786
Drama,Heavy,Medium,R,Medium,Hands Of Stone,Medium,8/26/2016,20000000,4712792,5032013
Drama,Light,Light,PG-13,Medium,The Light Between Oceans,Light,9/2/2016,20000000,12545979,20376651
Comedy,Heavy,Light,R,Light,War Dogs,Medium,8/19/2016,50000000,43034523,83034523
Animated,None,None,PG,None,Kubo And The Two Strings,Medium,8/19/2016,55000000,48023088,77548564
Comedy,Medium,Medium,PG-13,Medium,Florence Foster Jenkins,Light,8/12/2016,29000000,27383770,56017691
Drama,Light,Light,PG,None,Greater,Light,8/26/2016,9000000,2000093,2000093
Drama,Heavy,Light,R,Medium,Hell Or High Water,Medium,8/12/2016,12000000,27007844,37584304
Animated,Heavy,None,R,Heavy,Sausage Party,Medium,8/12/2016,19000000,97670358,141354394
Science Fiction,Heavy,Light,PG-13,None,Suicide Squad,Heavy,8/5/2016,175000000,325100054,746100054
Thriller,Medium,Medium,PG-13,Light,Nerve,Medium,7/27/2016,20000000,38583626,61680792
Comedy,Heavy,Heavy,R,Medium,Bad Moms,Light,7/29/2016,20000000,113257297,181457297
Spy Movie,Medium,None,PG-13,None,Jason Bourne,Heavy,7/29/2016,120000000,162192920,416197059
Animated,None,None,PG,None,Ice Age: Collision Course,Light,7/22/2016,105000000,64063008,403823272
Science Fiction,Heavy,None,PG-13,Light,Star Trek Beyond,Medium,7/22/2016,185000000,158848340,336398312
Horror,Light,Light,PG-13,Light,Lights Out,Medium,7/22/2016,5000000,67268835,148868835
Thriller,Heavy,Light,R,Medium,The Infiltrator,Heavy,7/13/2016,47500000,15436808,18693373
Horror,Medium,Light,PG-13,Light,The Darkness,Medium,5/13/2016,4000000,10753574,10898293
Drama,Light,None,PG,None,The Dog Lover,Light,7/8/2016,2000000,0,0
Comedy,Heavy,Heavy,R,Heavy,Mike And Dave Need Wedding Dates,Medium,7/8/2016,33000000,46009673,75909673
Comedy,Heavy,Light,R,Medium,Swiss Army Man,Medium,6/24/2016,3000000,4210454,5837111
Drama,Heavy,None,PG-13,Light,Genius,Light,6/10/2016,17000000,1361045,5653176
Animated,None,None,PG,None,The Secret Life Of Pets,Light,7/8/2016,75000000,368384330,886779788
Action Adventure,Light,Light,PG-13,Light,The Legend Of Tarzan,Medium,7/1/2016,180000000,126643061,349143061
Fantasy,None,None,PG,None,The Bfg,Light,7/1/2016,140000000,55483770,199905224
Drama,Light,None,PG-13,None,Extremely Loud And Incredibly Close,Light,12/25/2011,40000000,31847881,55247881
Science Fiction,Heavy,Light,PG-13,Light,Independence Day: Resurgence,Medium,6/24/2016,165000000,103144286,387644286
Thriller,Light,Light,PG-13,None,The Shallows,Heavy,6/24/2016,13000000,55121623,118888025
Action Adventure,Heavy,None,PG-13,Light,Hunt For The Wilderpeople,Heavy,6/24/2016,2500000,5205471,23238220
Comedy,Heavy,Light,PG-13,None,Central Intelligence,Medium,6/17/2016,50000000,127440871,217196811
Animated,None,None,PG,None,Finding Dory,Light,6/17/2016,200000000,486295561,1021405367
Thriller,Medium,None,PG-13,Light,Now You See Me 2,Medium,6/10/2016,90000000,65075540,328675540
Fantasy,None,Light,PG-13,Light,Warcraft,Medium,6/10/2016,160000000,47225655,433125655
Drama,Medium,Light,PG-13,Light,Me Before You,Light,6/3/2016,20000000,56245075,205445075
Fantasy,None,None,PG,None,Alice Through The Looking Glass,Light,5/27/2016,170000000,77042381,276934087
Thriller,Heavy,Heavy,R,Medium,The Nice Guys,Heavy,5/20/2016,50000000,36261763,57261763
Animated,Light,None,PG,Light,The Angry Birds Movie,Medium,5/20/2016,73000000,107509366,352829528
Comedy,Heavy,Medium,R,Heavy,The Lobster,Heavy,3/25/2016,4500000,9196278,18050296
Thriller,Heavy,Light,R,Medium,Money Monster,Medium,5/13/2016,27000000,41012075,93469699
"Action, Comedy",Heavy,Light,R,Medium,Compadres,Heavy,4/22/2016,3000000,3127773,7445044
Comedy,Heavy,Medium,R,Light,Keanu,Heavy,4/29/2016,15000000,20591853,20688141
Comedy,Medium,Medium,R,Medium,A Hologram For The King,Light,4/22/2016,35000000,4212494,11848058
Comedy,Heavy,None,R,Light,The Boss,Medium,4/8/2016,29000000,63077560,78652395
Horror,Heavy,None,R,None,Green Room,Heavy,4/15/2016,5000000,3220371,3807503
Comedy,Heavy,Light,R,Light,Meet The Blacks,Heavy,4/1/2016,900000,9097072,9097072
Romantic Comedy,Light,Light,PG-13,Light,My Big Fat Greek Wedding 2,None,3/25/2016,18000000,59689605,92048018
Science Fiction,Light,None,PG-13,None,Midnight Special,Medium,3/18/2016,18000000,3712282,7680250
Comedy,Heavy,Medium,R,Heavy,Creative Control,Light,3/11/2016,1000000,63014,63014
Romance,Heavy,Medium,R,Medium,The Perfect Match,Light,3/11/2016,5000000,9669521,9669521
Drama,None,Light,PG,None,Miracles From Heaven,Light,3/16/2016,13000000,61705123,73798720
Science Fiction,Light,None,PG-13,Light,10 Cloverfield Lane,Medium,3/11/2016,5000000,72082999,108286422
Historical Drama,None,Light,PG-13,None,The Young Messiah,Light,3/11/2016,16800000,6469813,7313697
Comedy,Heavy,Heavy,R,Heavy,The Bronze,Light,3/18/2016,3500000,615816,615816
Comedy,Heavy,Light,R,Medium,Whiskey Tango Foxtrot,Heavy,3/4/2016,35000000,23083334,24915969
Thriller,Heavy,None,R,Light,London Has Fallen,Heavy,3/4/2016,60000000,62524260,193857962
Animated,Light,Light,PG,None,Zootopia,Medium,3/4/2016,150000000,341268248,1019706594
Thriller,Heavy,Medium,R,Light,Triple 9,Heavy,2/26/2016,20000000,12639297,25943792
Comedy,None,Light,PG-13,Light,Eddie The Eagle,Light,2/26/2016,23000000,15789389,45121177
Fantasy,Light,Light,PG-13,Light,Gods Of Egypt,Medium,2/26/2016,140000000,31153464,133553464
Drama,Heavy,None,R,None,Eye In The Sky,Heavy,3/11/2016,13000000,18704596,34916128
Drama,Heavy,Light,PG-13,Light,Race,Light,2/19/2016,5000000,19115191,22178125
Action,Light,None,NR,Medium,Race,Medium,2/19/2016,5000000,19115191,22178125
Horror,Light,Heavy,R,None,The Witch,Heavy,2/19/2016,3500000,25138705,40454520
Drama,None,Light,PG-13,None,Risen,Medium,2/19/2016,20000000,36880033,46255763
Comedy,Medium,Light,R,Medium,How To Be Single,None,2/12/2016,37000000,46843513,99595932
Comedy,Medium,Light,PG-13,Medium,Zoolander 2,Medium,2/12/2016,50000000,28848693,55348693
Action Adventure,Heavy,Heavy,R,Heavy,Deadpool,Heavy,2/12/2016,58000000,363070709,801029249
Comedy,Medium,None,PG-13,Light,"Hail, Caesar!",Light,2/5/2016,22000000,30080225,64171419
Horror,None,Light,PG-13,None,Pride And Prejudice And Zombies,Medium,2/5/2016,28000000,10907291,16311335
Western,Medium,None,R,Light,Forsaken,Heavy,2/19/2016,18000000,0,0
Western,Heavy,None,R,Light,Jane Got A Gun,Heavy,1/29/2016,25000000,1513793,3771345
Comedy,Heavy,Heavy,R,Heavy,Fifty Shades Of Black,Heavy,1/29/2016,5000000,11686940,21152319
Action Adventure,Medium,None,PG-13,None,The Finest Hours,Light,1/29/2016,70000000,27569558,49252761
Animated,None,None,PG,None,Kung Fu Panda 3,None,1/29/2016,140000000,143528619,518614383
Horror,Medium,None,PG-13,Light,The Boy,Medium,1/22/2016,10000000,35819556,68220952
Comedy,Heavy,Heavy,R,Heavy,Dirty Grandpa,Medium,1/22/2016,11500000,35593113,105241410
Science Fiction,Medium,None,PG-13,Light,The 5Th Wave,Medium,1/22/2016,38000000,34912982,111336398
Animated,None,None,PG,None,Norm Of The North,Light,1/15/2016,18000000,17062499,30017209
Thriller,Heavy,None,R,Light,Cop Car,Heavy,8/7/2015,5000000,134552,143658
Drama,None,Heavy,R,Heavy,The Diary Of A Teenage Girl,None,8/7/2015,2000000,1477002,2279959
Thriller,Heavy,Light,R,None,Trash,Medium,10/9/2015,12000000,17484,6553186
War Movie,Heavy,None,R,Light,13 Hours: The Secret Soldiers Of Benghazi,Heavy,1/15/2016,50000000,52853219,69411370
Drama,Heavy,Heavy,R,Heavy,Strangerland,Medium,7/10/2015,10000000,17472,161097
