Country,Year,National_Income_Top_1
Finland,1981,0.0396032333
Finland,1982,0.0354945101
Finland,1983,0.0348903984
Finland,1984,0.0411078297
Finland,1985,0.0402584784
Finland,1986,0.0385570116
Finland,1987,0.0502515212
Finland,1988,0.0495848358
Finland,1989,0.0470277928
Finland,1990,
Finland,1991,
Finland,1992,
Finland,1993,0.0571600012
Finland,1994,0.0566999987
Finland,1995,0.0612999983
Finland,1996,0.0593199991
Finland,1997,0.0683299974
Finland,1998,0.076229997
Finland,1999,0.0945999995
Finland,2000,0.099650003
Finland,2001,0.0885799974
Finland,2002,0.0865899995
Finland,2003,0.0875800028
Finland,2004,0.0965299979
Finland,2005,0.0759999976
Finland,2006,0.0838899985
Finland,2007,0.0825800002
Finland,2008,0.0849800035
Finland,2009,0.0745700002
Finland,2010,
Finland,2011,
Finland,2012,
Finland,2013,
Finland,2014,
Finland,2015,
Finland,2016,
France,1965,0.1093935966
France,1966,0.1072928011
France,1967,0.1071254984
France,1968,0.1015826017
France,1969,0.0990381986
France,1970,0.0965683013
France,1971,0.0967501998
France,1972,0.0949781016
France,1973,0.1009458974
France,1974,0.0974296033
France,1975,0.0910573974
France,1976,0.0909940973
France,1977,0.0852714032
France,1978,0.0826798975
France,1979,0.0855913982
France,1980,0.0817492977
France,1981,0.0821397975
France,1982,0.0751655996
France,1983,0.0733006969
France,1984,0.0746871978
France,1985,0.0773738995
France,1986,0.082470201
France,1987,0.0901914984
France,1988,0.0915504023
France,1989,0.0952000991
France,1990,0.0933156013
France,1991,0.0914717987
France,1992,0.0861617997
France,1993,0.0908591002
France,1994,0.0917858034
France,1995,0.0922586024
France,1996,0.1003340036
France,1997,0.1043780968
France,1998,0.1067387983
France,1999,0.1060158983
France,2000,0.1102560014
France,2001,0.1131867021
France,2002,0.1094869971
France,2003,0.1135222018
France,2004,0.1161718965
France,2005,0.1147103012
France,2006,0.1123552993
France,2007,0.1168607995
France,2008,0.1156987995
France,2009,0.1017547995
France,2010,0.1084370017
France,2011,0.1145292968
France,2012,0.1043196991
France,2013,0.1079455987
France,2014,0.107965298
France,2015,
France,2016,
Germany,1965,0.1231960952
Germany,1966,
Germany,1967,
Germany,1968,0.1127444059
Germany,1969,
Germany,1970,
Germany,1971,0.1138735116
Germany,1972,
Germany,1973,
Germany,1974,0.1016713232
Germany,1975,
Germany,1976,
Germany,1977,0.1031078696
Germany,1978,
Germany,1979,
Germany,1980,0.1064785868
Germany,1981,
Germany,1982,
Germany,1983,0.0983793437
Germany,1984,
Germany,1985,
Germany,1986,0.1021505743
Germany,1987,
Germany,1988,
Germany,1989,0.1144025698
Germany,1990,
Germany,1991,
Germany,1992,0.0948769823
Germany,1993,
Germany,1994,
Germany,1995,0.0815665126
Germany,1996,
Germany,1997,
Germany,1998,0.1182412356
Germany,1999,
Germany,2000,
Germany,2001,0.1140401065
Germany,2002,0.1105062738
Germany,2003,0.1053818688
Germany,2004,0.111033991
Germany,2005,0.129333511
Germany,2006,0.1322488189
Germany,2007,0.1403578371
Germany,2008,0.1451653838
Germany,2009,0.1317414641
Germany,2010,0.1313128322
Germany,2011,0.13113451
Germany,2012,0.1302376539
Germany,2013,0.1323438883
Germany,2014,
Germany,2015,
Germany,2016,
Greece,1965,
Greece,1966,
Greece,1967,
Greece,1968,
Greece,1969,
Greece,1970,
Greece,1971,
Greece,1972,
Greece,1973,
Greece,1974,
Greece,1975,
Greece,1976,
Greece,1977,
Greece,1978,
Greece,1979,
Greece,1980,
Greece,1981,
Greece,1982,
Greece,1983,
Greece,1984,
Greece,1985,
Greece,1986,
Greece,1987,
Greece,1988,
Greece,1989,
Greece,1990,
Greece,1991,
Greece,1992,
Greece,1993,
Greece,1994,
Greece,1995,
Greece,1996,
Greece,1997,
Greece,1998,
Greece,1999,
Greece,2000,
Greece,2001,
Greece,2002,
Greece,2003,
Greece,2004,
Greece,2005,
Greece,2006,
Greece,2007,
Greece,2008,
Greece,2009,
Greece,2010,
Greece,2011,
Greece,2012,
Greece,2013,
Greece,2014,
Greece,2015,
Greece,2016,
Ireland,1965,
Ireland,1966,
Ireland,1967,
Ireland,1968,
Ireland,1969,
Ireland,1970,
Ireland,1971,
Ireland,1972,
Ireland,1973,
Ireland,1974,
Ireland,1975,0.0502000004
Ireland,1976,0.0491000004
Ireland,1977,0.0474999994
Ireland,1978,0.0518999994
Ireland,1979,0.0675999969
Ireland,1980,0.0560000017
Ireland,1981,0.0535999984
Ireland,1982,0.0579000004
Ireland,1983,0.0593999997
Ireland,1984,0.0546999983
Ireland,1985,0.0527999997
Ireland,1986,0.0516999997
Ireland,1987,0.0516999997
Ireland,1988,0.0518000014
Ireland,1989,0.0537
Ireland,1990,0.0559
Ireland,1991,0.0614
Ireland,1992,0.0658999979
Ireland,1993,0.0636000037
Ireland,1994,0.0667999983
Ireland,1995,0.0703999996
Ireland,1996,0.0713
Ireland,1997,0.0766000003
Ireland,1998,0.0877000019
Ireland,1999,0.0892999992
Ireland,2000,0.0966000035
Ireland,2001,0.0935000032
Ireland,2002,0.0923999995
Ireland,2003,0.0939999968
Ireland,2004,0.0984999985
Ireland,2005,0.1045999974
Ireland,2006,0.1130999997
Ireland,2007,0.1059999987
Ireland,2008,0.0967999995
Ireland,2009,0.0962999985
Ireland,2010,0.0952999964
Ireland,2011,0.0936999992
Ireland,2012,0.0966999978
Ireland,2013,0.0979000032
Ireland,2014,0.0995000005
Ireland,2015,0.1150000021
Ireland,2016,
Italy,1965,
Italy,1966,
Italy,1967,
Italy,1968,
Italy,1969,
Italy,1970,
Italy,1971,
Italy,1972,
Italy,1973,
Italy,1974,0.0746000037
Italy,1975,0.0724000037
Italy,1976,0.0710000023
Italy,1977,0.0680000037
Italy,1978,0.0671000034
Italy,1979,0.0683000013
Italy,1980,0.0689999983
Italy,1981,0.0647
Italy,1982,0.064000003
Italy,1983,0.0634000003
Italy,1984,0.0653999969
Italy,1985,0.0680999979
Italy,1986,0.0713
Italy,1987,0.074500002
Italy,1988,0.0759999976
Italy,1989,0.0778999999
Italy,1990,0.0777999982
Italy,1991,0.0784000009
Italy,1992,0.0781000033
Italy,1993,0.0791999996
Italy,1994,0.0798999965
Italy,1995,0.08134
Italy,1996,
Italy,1997,
Italy,1998,0.0873999968
Italy,1999,0.0882000029
Italy,2000,0.0908999965
Italy,2001,0.0927999988
Italy,2002,0.0927999988
Italy,2003,0.0935999975
Italy,2004,0.0927999988
Italy,2005,0.0935000032
Italy,2006,0.0972099975
Italy,2007,0.0986099988
Italy,2008,0.0965700001
Italy,2009,0.09375
Italy,2010,
Italy,2011,
Italy,2012,
Italy,2013,
Italy,2014,
Italy,2015,
Italy,2016,
Japan,1965,0.0825700015
Japan,1966,0.0804499984
Japan,1967,0.0811000019
Japan,1968,0.0800800025
Japan,1969,0.1003400013
Japan,1970,0.1070799977
Japan,1971,0.1299100071
Japan,1972,0.1216199994
Japan,1973,0.1382399946
Japan,1974,0.0835200027
Japan,1975,0.0899000019
Japan,1976,0.075410001
Japan,1977,0.0763700008
Japan,1978,0.0790600032
Japan,1979,0.0840300024
Japan,1980,0.0835800022
Japan,1981,0.0825299993
Japan,1982,0.0821899995
Japan,1983,0.0822900012
Japan,1984,0.0825000033
Japan,1985,0.083829999
Japan,1986,0.0887100026
Japan,1987,0.102959998
Japan,1988,0.1056699976
Japan,1989,0.1190100014
Japan,1990,0.1298500001
Japan,1991,0.1213599965
Japan,1992,0.0842199996
Japan,1993,0.0863900036
Japan,1994,0.0855199993
Japan,1995,0.0866900012
Japan,1996,0.0890199989
Japan,1997,0.084040001
Japan,1998,0.0847499967
Japan,1999,0.0873899981
Japan,2000,0.0905800015
Japan,2001,0.09375
Japan,2002,0.0951299965
Japan,2003,0.0979600027
Japan,2004,0.1046900004
Japan,2005,0.11039
Japan,2006,0.1131199971
Japan,2007,0.113470003
Japan,2008,0.1089600027
Japan,2009,0.1042200029
Japan,2010,0.1043900028
Japan,2011,
Japan,2012,
Japan,2013,
Japan,2014,
Japan,2015,
Japan,2016,
Korea,1965,
Korea,1966,
Korea,1967,
Korea,1968,
Korea,1969,
Korea,1970,
Korea,1971,
Korea,1972,
Korea,1973,
Korea,1974,
Korea,1975,
Korea,1976,
Korea,1977,
Korea,1978,
Korea,1979,0.0716736913
Korea,1980,0.0747052059
Korea,1981,0.0714295954
Korea,1982,0.0726628602
Korea,1983,0.0745876804
Korea,1984,0.0734835789
Korea,1985,0.0715765581
Korea,1986,
Korea,1987,
Korea,1988,
Korea,1989,
Korea,1990,
Korea,1991,
Korea,1992,
Korea,1993,
Korea,1994,
Korea,1995,0.0687622353
Korea,1996,0.0726975352
Korea,1997,0.0749290958
Korea,1998,0.0658187568
Korea,1999,0.0754505396
Korea,2000,0.0818750933
Korea,2001,0.0855483711
Korea,2002,0.0916317701
Korea,2003,0.0922174677
Korea,2004,0.0963863954
Korea,2005,0.0996331573
Korea,2006,0.1077593043
Korea,2007,0.1128318831
Korea,2008,0.1137240529
Korea,2009,0.1133281812
Korea,2010,0.1175935864
Korea,2011,0.1224612147
Korea,2012,0.1222704053
Korea,2013,
Korea,2014,
Korea,2015,
Korea,2016,
Luxembourg,1965,
Luxembourg,1966,
Luxembourg,1967,
Luxembourg,1968,
Luxembourg,1969,
Luxembourg,1970,
Luxembourg,1971,
Luxembourg,1972,
Luxembourg,1973,
Luxembourg,1974,
Luxembourg,1975,
Luxembourg,1976,
Luxembourg,1977,
Luxembourg,1978,
Luxembourg,1979,
Luxembourg,1980,
Luxembourg,1981,
Luxembourg,1982,
Luxembourg,1983,
Luxembourg,1984,
Luxembourg,1985,
Luxembourg,1986,
Luxembourg,1987,
Luxembourg,1988,
Luxembourg,1989,
Luxembourg,1990,
Luxembourg,1991,
Luxembourg,1992,
Luxembourg,1993,
Luxembourg,1994,
Luxembourg,1995,
Luxembourg,1996,
Luxembourg,1997,
Luxembourg,1998,
Luxembourg,1999,
Luxembourg,2000,
Luxembourg,2001,
Luxembourg,2002,
Luxembourg,2003,
Luxembourg,2004,
Luxembourg,2005,
Luxembourg,2006,
Luxembourg,2007,
Luxembourg,2008,
Luxembourg,2009,
Luxembourg,2010,
Luxembourg,2011,
Luxembourg,2012,
Luxembourg,2013,
Luxembourg,2014,
Luxembourg,2015,
Luxembourg,2016,
Mexico,1965,
Mexico,1966,
Mexico,1967,
Mexico,1968,
Mexico,1969,
Mexico,1970,
Mexico,1971,
Mexico,1972,
Mexico,1973,
Mexico,1974,
Mexico,1975,
Mexico,1976,
Mexico,1977,
Mexico,1978,
Mexico,1979,
Mexico,1980,
Mexico,1981,
Mexico,1982,
Mexico,1983,
Mexico,1984,
Mexico,1985,
Mexico,1986,
Mexico,1987,
Mexico,1988,
Mexico,1989,
Mexico,1990,
Mexico,1991,
Mexico,1992,
Mexico,1993,
Mexico,1994,
Mexico,1995,
Mexico,1996,
Mexico,1997,
Mexico,1998,
Mexico,1999,
Mexico,2000,
Mexico,2001,
Mexico,2002,
Mexico,2003,
Mexico,2004,
Mexico,2005,
Mexico,2006,
Mexico,2007,
Mexico,2008,
Mexico,2009,
Mexico,2010,
Mexico,2011,
Mexico,2012,
Mexico,2013,
Mexico,2014,
Mexico,2015,
Mexico,2016,
New Zealand,1965,0.0672327355
New Zealand,1966,0.0656160489
New Zealand,1967,0.0658910275
New Zealand,1968,0.0671541169
New Zealand,1969,0.0669782683
New Zealand,1970,0.066391848
New Zealand,1971,0.0643256307
New Zealand,1972,0.0707796365
New Zealand,1973,0.0746694431
New Zealand,1974,0.0754664242
New Zealand,1975,0.065572001
New Zealand,1976,0.0748101771
New Zealand,1977,0.0613094494
New Zealand,1978,0.0611672699
New Zealand,1979,0.0577372722
New Zealand,1980,0.0565258563
New Zealand,1981,0.0550245419
New Zealand,1982,0.0548644066
New Zealand,1983,0.0568050332
New Zealand,1984,0.055996798
New Zealand,1985,0.0550965071
New Zealand,1986,0.0488094613
New Zealand,1987,0.0547798499
New Zealand,1988,0.0534615926
New Zealand,1989,0.0658715516
New Zealand,1990,0.082100682
New Zealand,1991,0.0796082243
New Zealand,1992,0.0840459913
New Zealand,1993,0.087585777
New Zealand,1994,0.0900059491
New Zealand,1995,0.0897850022
New Zealand,1996,0.0892483145
New Zealand,1997,0.0916228294
New Zealand,1998,0.1021426469
New Zealand,1999,0.1344319135
New Zealand,2000,0.0791834667
New Zealand,2001,0.0832361281
New Zealand,2002,0.0834121481
New Zealand,2003,0.0881444439
New Zealand,2004,0.0940594822
New Zealand,2005,0.0866068676
New Zealand,2006,0.0813969523
New Zealand,2007,0.0782511234
New Zealand,2008,0.0810651183
New Zealand,2009,0.0783709809
New Zealand,2010,0.0740199983
New Zealand,2011,0.0816000029
New Zealand,2012,0.0894000009
New Zealand,2013,0.0777999982
New Zealand,2014,0.0808999985
New Zealand,2015,
New Zealand,2016,
Norway,1965,0.0598549806
Norway,1966,0.059949778
Norway,1967,0.0567258783
Norway,1968,0.0580304191
Norway,1969,0.0592608824
Norway,1970,0.05853099
Norway,1971,0.0590705238
Norway,1972,0.0574323162
Norway,1973,0.056413725
Norway,1974,0.0547980703
Norway,1975,0.054085914
Norway,1976,0.0530745983
Norway,1977,0.0532541797
Norway,1978,0.0493441485
Norway,1979,0.0491460785
Norway,1980,0.0460293777
Norway,1981,0.044709824
Norway,1982,0.0442524292
Norway,1983,0.044161614
Norway,1984,0.0438956469
Norway,1985,0.0444969274
Norway,1986,0.0437416583
Norway,1987,0.0441478603
Norway,1988,0.0433238111
Norway,1989,0.0412726216
Norway,1990,0.0428345315
Norway,1991,0.0437348858
Norway,1992,0.053811539
Norway,1993,0.0697306991
Norway,1994,0.0742669478
Norway,1995,0.0735973492
Norway,1996,0.0796260312
Norway,1997,0.0861174837
Norway,1998,0.0799215361
Norway,1999,0.0838495195
Norway,2000,0.1031374335
Norway,2001,0.0735950321
Norway,2002,0.0961286575
Norway,2003,0.1039693132
Norway,2004,0.1162260845
Norway,2005,0.1648577303
Norway,2006,0.0785963088
Norway,2007,0.0854242593
Norway,2008,0.0770185143
Norway,2009,0.0711044371
Norway,2010,0.0774195939
Norway,2011,0.0780341402
Norway,2012,
Norway,2013,
Norway,2014,
Norway,2015,
Norway,2016,
Portugal,1965,
Portugal,1966,
Portugal,1967,
Portugal,1968,
Portugal,1969,
Portugal,1970,
Portugal,1971,
Portugal,1972,
Portugal,1973,
Portugal,1974,
Portugal,1975,
Portugal,1976,0.0789000019
Portugal,1977,0.064000003
Portugal,1978,0.0577000007
Portugal,1979,0.0452000014
Portugal,1980,0.0432000011
Portugal,1981,0.0397000015
Portugal,1982,0.0478999987
Portugal,1983,
Portugal,1984,
Portugal,1985,
Portugal,1986,
Portugal,1987,
Portugal,1988,
Portugal,1989,0.068400003
Portugal,1990,0.0720999986
Portugal,1991,0.0746000037
Portugal,1992,0.0758000016
Portugal,1993,0.0806000009
Portugal,1994,0.0819000006
Portugal,1995,0.0841000006
Portugal,1996,0.0844999999
Portugal,1997,0.0878000036
Portugal,1998,0.0878000036
Portugal,1999,0.0922999978
Portugal,2000,0.0908999965
Portugal,2001,0.0965000018
Portugal,2002,0.0896999985
Portugal,2003,0.0913000032
Portugal,2004,0.0961500034
Portugal,2005,0.0976699963
Portugal,2006,
Portugal,2007,
Portugal,2008,
Portugal,2009,
Portugal,2010,
Portugal,2011,
Portugal,2012,
Portugal,2013,
Portugal,2014,
Portugal,2015,
Portugal,2016,
Spain,1965,
Spain,1966,
Spain,1967,
Spain,1968,
Spain,1969,
Spain,1970,
Spain,1971,
Spain,1972,
Spain,1973,
Spain,1974,
Spain,1975,
Spain,1976,
Spain,1977,
Spain,1978,
Spain,1979,
Spain,1980,
Spain,1981,0.0762799978
Spain,1982,0.0795300007
Spain,1983,0.0779199973
Spain,1984,0.0781200007
Spain,1985,0.0811899975
Spain,1986,0.0887800008
Spain,1987,0.0915199965
Spain,1988,0.0918599963
Spain,1989,0.0900999978
Spain,1990,0.088030003
Spain,1991,0.0846899971
Spain,1992,0.0842199996
Spain,1993,0.0821899995
Spain,1994,0.0827099979
Spain,1995,0.0828699991
Spain,1996,0.0828600004
Spain,1997,0.0843100026
Spain,1998,0.088440001
Spain,1999,0.0934500024
Spain,2000,0.0974899977
Spain,2001,0.0963200033
Spain,2002,0.0932200029
Spain,2003,0.0991400033
Spain,2004,0.1022799984
Spain,2005,0.1099999994
Spain,2006,0.1274099946
Spain,2007,0.1123600006
Spain,2008,0.098269999
Spain,2009,0.0929799974
Spain,2010,0.0868699998
Spain,2011,0.0903400034
Spain,2012,0.0857599974
Spain,2013,
Spain,2014,
Spain,2015,
Spain,2016,
Sweden,1965,0.0653999969
Sweden,1966,0.0640999973
Sweden,1967,0.066200003
Sweden,1968,0.0669
Sweden,1969,0.065700002
Sweden,1970,0.0631999969
Sweden,1971,0.0593000017
Sweden,1972,0.0581
Sweden,1973,0.057599999
Sweden,1974,0.0568000004
Sweden,1975,0.0540999994
Sweden,1976,0.0507000014
Sweden,1977,0.0476999991
Sweden,1978,0.0456000008
Sweden,1979,0.0432999991
Sweden,1980,0.0412999988
Sweden,1981,0.0406999998
Sweden,1982,0.0408000015
Sweden,1983,0.0445000008
Sweden,1984,0.0436000004
Sweden,1985,0.0458999984
Sweden,1986,0.0449000001
Sweden,1987,0.0472999997
Sweden,1988,0.0507999994
Sweden,1989,0.0544999987
Sweden,1990,0.0520000011
Sweden,1991,0.0694999993
Sweden,1992,0.0584000014
Sweden,1993,0.0593000017
Sweden,1994,0.071800001
Sweden,1995,0.0599999987
Sweden,1996,0.0698999986
Sweden,1997,0.0760999992
Sweden,1998,0.0816999972
Sweden,1999,0.0930000022
Sweden,2000,0.1111999974
Sweden,2001,0.0861999989
Sweden,2002,0.0759000033
Sweden,2003,0.0762000009
Sweden,2004,0.0786999986
Sweden,2005,0.0899000019
Sweden,2006,0.0952999964
Sweden,2007,0.0994660035
Sweden,2008,0.0898955911
Sweden,2009,0.0841263682
Sweden,2010,0.0898375213
Sweden,2011,0.090085268
Sweden,2012,0.0866736695
Sweden,2013,0.087267451
Sweden,2014,
Sweden,2015,
Sweden,2016,
Switzerland,1965,0.1085899994
Switzerland,1966,
Switzerland,1967,0.1100099981
Switzerland,1968,
Switzerland,1969,0.1080899984
Switzerland,1970,
Switzerland,1971,0.0976699963
Switzerland,1972,
Switzerland,1973,0.0878700018
Switzerland,1974,
Switzerland,1975,0.0849400014
Switzerland,1976,
Switzerland,1977,0.0839599967
Switzerland,1978,
Switzerland,1979,0.0839700028
Switzerland,1980,
Switzerland,1981,0.0838600025
Switzerland,1982,
Switzerland,1983,0.0905100033
Switzerland,1984,
Switzerland,1985,0.0907000005
Switzerland,1986,
Switzerland,1987,0.0921799988
Switzerland,1988,
Switzerland,1989,0.0860100016
Switzerland,1990,
Switzerland,1991,0.084830001
Switzerland,1992,
Switzerland,1993,0.0802600011
Switzerland,1994,
Switzerland,1995,0.082629092
Switzerland,1996,0.0904595777
Switzerland,1997,0.0950050801
Switzerland,1998,0.0961115435
Switzerland,1999,0.0977760926
Switzerland,2000,0.0989771634
Switzerland,2001,0.0987471715
Switzerland,2002,0.093284443
Switzerland,2003,0.0948042721
Switzerland,2004,0.0972575173
Switzerland,2005,0.0994748399
Switzerland,2006,0.103678301
Switzerland,2007,0.1104687974
Switzerland,2008,0.1104250029
Switzerland,2009,0.1068658978
Switzerland,2010,0.1074901
Switzerland,2011,0.1190524027
Switzerland,2012,0.1043518037
Switzerland,2013,0.1065049991
Switzerland,2014,0.1130278036
Switzerland,2015,
Switzerland,2016,
Turkey,1965,
Turkey,1966,
Turkey,1967,
Turkey,1968,
Turkey,1969,
Turkey,1970,
Turkey,1971,
Turkey,1972,
Turkey,1973,
Turkey,1974,
Turkey,1975,
Turkey,1976,
Turkey,1977,
Turkey,1978,
Turkey,1979,
Turkey,1980,
Turkey,1981,
Turkey,1982,
Turkey,1983,
Turkey,1984,
Turkey,1985,
Turkey,1986,
Turkey,1987,
Turkey,1988,
Turkey,1989,
Turkey,1990,0.2825734615
Turkey,1991,0.2825734317
Turkey,1992,0.2825734317
Turkey,1993,0.2825733423
Turkey,1994,0.2825734317
Turkey,1995,0.2825734615
Turkey,1996,0.2825734615
Turkey,1997,0.2825734317
Turkey,1998,0.22453475
Turkey,1999,0.2245347649
Turkey,2000,0.22453475
Turkey,2001,0.2245347798
Turkey,2002,0.22453475
Turkey,2003,0.2196533382
Turkey,2004,0.2146455795
Turkey,2005,0.18888551
Turkey,2006,0.1796057075
Turkey,2007,0.1736188233
Turkey,2008,0.1827385426
Turkey,2009,0.1938407719
Turkey,2010,0.1990195662
Turkey,2011,0.1928068846
Turkey,2012,0.1978211701
Turkey,2013,0.1902291328
Turkey,2014,0.2098390609
Turkey,2015,0.2154310197
Turkey,2016,0.2343523651
USA,1965,
USA,1966,0.1264099926
USA,1967,0.1214499995
USA,1968,0.1241899952
USA,1969,0.1151100025
USA,1970,0.1079299971
USA,1971,0.1108400002
USA,1972,0.1111899987
USA,1973,0.1101899967
USA,1974,0.1055200025
USA,1975,0.1058299989
USA,1976,0.1040600017
USA,1977,0.1075100005
USA,1978,0.1062999964
USA,1979,0.1115000024
USA,1980,0.1067100018
USA,1981,0.1105199978
USA,1982,0.1126400009
USA,1983,0.1151399985
USA,1984,0.1249599978
USA,1985,0.1255300045
USA,1986,0.1220899969
USA,1987,0.1330699921
USA,1988,0.1487600058
USA,1989,0.1446499974
